model,acc,dataset
simclr-affine-bounded,0.5618,cifar10
simclr-affine-bounded,0.5617,cifar10
simclr-affine-bounded,0.5583,cifar10
simclr-affine-bounded,0.5579,cifar10
simclr-affine-bounded,0.5612,cifar10
simclr-affine-bounded,0.2992,cifar100
simclr-affine-bounded,0.2962,cifar100
simclr-affine-bounded,0.2987,cifar100
simclr-affine-bounded,0.2958,cifar100
simclr-affine-bounded,0.2999,cifar100
simclr-affine-bounded,0.6200109349371241,caltech101
simclr-affine-bounded,0.6101694915254238,caltech101
simclr-affine-bounded,0.6139967195188628,caltech101
simclr-affine-bounded,0.6172772006560963,caltech101
simclr-affine-bounded,0.6008747949699289,caltech101
byol-affine-bounded,0.517,cifar10
byol-affine-bounded,0.5191,cifar10
byol-affine-bounded,0.5141,cifar10
byol-affine-bounded,0.5159,cifar10
byol-affine-bounded,0.5169,cifar10
byol-affine-bounded,0.2527,cifar100
byol-affine-bounded,0.2545,cifar100
byol-affine-bounded,0.2511,cifar100
byol-affine-bounded,0.2524,cifar100
byol-affine-bounded,0.255,cifar100
byol-affine-bounded,0.5631492618917441,caltech101
byol-affine-bounded,0.562055768179333,caltech101
byol-affine-bounded,0.5691634773100055,caltech101
byol-affine-bounded,0.5697102241662111,caltech101
byol-affine-bounded,0.5533078184800437,caltech101
barlow_twins-affine-bounded,0.51,cifar10
barlow_twins-affine-bounded,0.5074,cifar10
barlow_twins-affine-bounded,0.5094,cifar10
barlow_twins-affine-bounded,0.5072,cifar10
barlow_twins-affine-bounded,0.5058,cifar10
barlow_twins-affine-bounded,0.251,cifar100
barlow_twins-affine-bounded,0.2507,cifar100
barlow_twins-affine-bounded,0.2442,cifar100
barlow_twins-affine-bounded,0.2548,cifar100
barlow_twins-affine-bounded,0.2471,cifar100
barlow_twins-affine-bounded,0.5587752870420996,caltech101
barlow_twins-affine-bounded,0.5511208310552215,caltech101
barlow_twins-affine-bounded,0.5549480590486605,caltech101
barlow_twins-affine-bounded,0.5549480590486605,caltech101
barlow_twins-affine-bounded,0.5500273373428103,caltech101
barlow_twins-affine-investigate-losses-bounded,0.5187,cifar10
barlow_twins-affine-investigate-losses-bounded,0.5183,cifar10
barlow_twins-affine-investigate-losses-bounded,0.517,cifar10
barlow_twins-affine-investigate-losses-bounded,0.5202,cifar10
barlow_twins-affine-investigate-losses-bounded,0.5173,cifar10
barlow_twins-affine-investigate-losses-bounded,0.2466,cifar100
barlow_twins-affine-investigate-losses-bounded,0.2522,cifar100
barlow_twins-affine-investigate-losses-bounded,0.2477,cifar100
barlow_twins-affine-investigate-losses-bounded,0.2492,cifar100
barlow_twins-affine-investigate-losses-bounded,0.254,cifar100
barlow_twins-affine-investigate-losses-bounded,0.5724439584472389,caltech101
barlow_twins-affine-investigate-losses-bounded,0.5708037178786222,caltech101
barlow_twins-affine-investigate-losses-bounded,0.5680699835975943,caltech101
barlow_twins-affine-investigate-losses-bounded,0.5729907053034445,caltech101
barlow_twins-affine-investigate-losses-bounded,0.5844723892837617,caltech101
