model,acc,dataset
simclr-affine,0.5365,cifar10
simclr-affine,0.5362,cifar10
simclr-affine,0.5362,cifar10
simclr-affine,0.5385,cifar10
simclr-affine,0.538,cifar10
simclr-affine,0.27,cifar100
simclr-affine,0.2721,cifar100
simclr-affine,0.2711,cifar100
simclr-affine,0.2717,cifar100
simclr-affine,0.273,cifar100
simclr-affine,0.6189174412247129,caltech101
simclr-affine,0.6298523783488245,caltech101
simclr-affine,0.6150902132312739,caltech101
simclr-affine,0.6276653909240022,caltech101
simclr-affine,0.6112629852378348,caltech101
byol-affine,0.5022,cifar10
byol-affine,0.5017,cifar10
byol-affine,0.502,cifar10
byol-affine,0.4998,cifar10
byol-affine,0.5046,cifar10
byol-affine,0.2316,cifar100
byol-affine,0.2365,cifar100
byol-affine,0.2359,cifar100
byol-affine,0.2356,cifar100
byol-affine,0.2361,cifar100
byol-affine,0.5768179332968836,caltech101
byol-affine,0.5702569710224166,caltech101
byol-affine,0.551667577911427,caltech101
byol-affine,0.5626025150355386,caltech101
byol-affine,0.5702569710224166,caltech101
barlow_twins-affine,0.5102,cifar10
barlow_twins-affine,0.5122,cifar10
barlow_twins-affine,0.5099,cifar10
barlow_twins-affine,0.5137,cifar10
barlow_twins-affine,0.5111,cifar10
barlow_twins-affine,0.2456,cifar100
barlow_twins-affine,0.2451,cifar100
barlow_twins-affine,0.2441,cifar100
barlow_twins-affine,0.2463,cifar100
barlow_twins-affine,0.2482,cifar100
barlow_twins-affine,0.5790049207217058,caltech101
barlow_twins-affine,0.5697102241662111,caltech101
barlow_twins-affine,0.5664297430289775,caltech101
barlow_twins-affine,0.5768179332968836,caltech101
barlow_twins-affine,0.5773646801530892,caltech101
barlow_twins-affine-updated-betas,0.5169,cifar10
barlow_twins-affine-updated-betas,0.5192,cifar10
barlow_twins-affine-updated-betas,0.5182,cifar10
barlow_twins-affine-updated-betas,0.5189,cifar10
barlow_twins-affine-updated-betas,0.514,cifar10
barlow_twins-affine-updated-betas,0.2489,cifar100
barlow_twins-affine-updated-betas,0.2481,cifar100
barlow_twins-affine-updated-betas,0.2495,cifar100
barlow_twins-affine-updated-betas,0.2504,cifar100
barlow_twins-affine-updated-betas,0.25,cifar100
barlow_twins-affine-updated-betas,0.5861126298523783,caltech101
barlow_twins-affine-updated-betas,0.5850191361399671,caltech101
barlow_twins-affine-updated-betas,0.5872061235647895,caltech101
barlow_twins-affine-updated-betas,0.5740841990158556,caltech101
barlow_twins-affine-updated-betas,0.5861126298523783,caltech101
