model,acc,dataset
simclr-affine,0.5422,cifar10
simclr-affine,0.5457,cifar10
simclr-affine,0.5455,cifar10
simclr-affine,0.544,cifar10
simclr-affine,0.5391,cifar10
simclr-affine,0.2784,cifar100
simclr-affine,0.2737,cifar100
simclr-affine,0.2771,cifar100
simclr-affine,0.2775,cifar100
simclr-affine,0.2785,cifar100
simclr-affine,0.6183706943685073,caltech101
simclr-affine,0.6221979223619464,caltech101
simclr-affine,0.6364133406232915,caltech101
simclr-affine,0.6287588846364134,caltech101
simclr-affine,0.6172772006560963,caltech101
byol-affine,0.5206,cifar10
byol-affine,0.5216,cifar10
byol-affine,0.5201,cifar10
byol-affine,0.5255,cifar10
byol-affine,0.5227,cifar10
byol-affine,0.2484,cifar100
byol-affine,0.2544,cifar100
byol-affine,0.2528,cifar100
byol-affine,0.2514,cifar100
byol-affine,0.2526,cifar100
byol-affine,0.5893931109896118,caltech101
byol-affine,0.5861126298523783,caltech101
byol-affine,0.5790049207217058,caltech101
byol-affine,0.5882996172772007,caltech101
byol-affine,0.5718972115910333,caltech101
barlow_twins-affine,0.5146,cifar10
barlow_twins-affine,0.5168,cifar10
barlow_twins-affine,0.5161,cifar10
barlow_twins-affine,0.5147,cifar10
barlow_twins-affine,0.5144,cifar10
barlow_twins-affine,0.2509,cifar100
barlow_twins-affine,0.2495,cifar100
barlow_twins-affine,0.2499,cifar100
barlow_twins-affine,0.2466,cifar100
barlow_twins-affine,0.2524,cifar100
barlow_twins-affine,0.5598687807545106,caltech101
barlow_twins-affine,0.5598687807545106,caltech101
barlow_twins-affine,0.5609622744669218,caltech101
barlow_twins-affine,0.5664297430289775,caltech101
barlow_twins-affine,0.5576817933296884,caltech101
barlow_twins-affine-updated-betas,0.5101,cifar10
barlow_twins-affine-updated-betas,0.5087,cifar10
barlow_twins-affine-updated-betas,0.507,cifar10
barlow_twins-affine-updated-betas,0.5092,cifar10
barlow_twins-affine-updated-betas,0.508,cifar10
barlow_twins-affine-updated-betas,0.245,cifar100
barlow_twins-affine-updated-betas,0.2438,cifar100
barlow_twins-affine-updated-betas,0.243,cifar100
barlow_twins-affine-updated-betas,0.2435,cifar100
barlow_twins-affine-updated-betas,0.2427,cifar100
barlow_twins-affine-updated-betas,0.5697102241662111,caltech101
barlow_twins-affine-updated-betas,0.5740841990158556,caltech101
barlow_twins-affine-updated-betas,0.5647895024603609,caltech101
barlow_twins-affine-updated-betas,0.5746309458720612,caltech101
barlow_twins-affine-updated-betas,0.5664297430289775,caltech101
