model,acc,dataset
simclr,0.5287,cifar10
simclr,0.5299,cifar10
simclr,0.53,cifar10
simclr,0.5266,cifar10
simclr,0.5286,cifar10
simclr,0.2667,cifar100
simclr,0.2689,cifar100
simclr,0.2662,cifar100
simclr,0.2673,cifar100
simclr,0.2689,cifar100
simclr,0.5839256424275561,caltech101
simclr,0.5866593767085839,caltech101
simclr,0.5850191361399671,caltech101
simclr,0.5872061235647895,caltech101
simclr,0.576271186440678,caltech101
simclr-affine,0.5511,cifar10
simclr-affine,0.551,cifar10
simclr-affine,0.549,cifar10
simclr-affine,0.5504,cifar10
simclr-affine,0.5534,cifar10
simclr-affine,0.287,cifar100
simclr-affine,0.286,cifar100
simclr-affine,0.2854,cifar100
simclr-affine,0.2856,cifar100
simclr-affine,0.286,cifar100
simclr-affine,0.6221979223619464,caltech101
simclr-affine,0.6183706943685073,caltech101
simclr-affine,0.6260251503553854,caltech101
simclr-affine,0.6260251503553854,caltech101
simclr-affine,0.6243849097867687,caltech101
byol,0.463,cifar10
byol,0.4608,cifar10
byol,0.4585,cifar10
byol,0.4618,cifar10
byol,0.4613,cifar10
byol,0.2143,cifar100
byol,0.213,cifar100
byol,0.2177,cifar100
byol,0.2137,cifar100
byol,0.2104,cifar100
byol,0.5117550574084199,caltech101
byol,0.5112083105522143,caltech101
byol,0.5133952979770366,caltech101
byol,0.5057408419901586,caltech101
byol,0.5183160196828869,caltech101
byol-affine,0.5258,cifar10
byol-affine,0.5222,cifar10
byol-affine,0.5213,cifar10
byol-affine,0.5236,cifar10
byol-affine,0.5215,cifar10
byol-affine,0.2563,cifar100
byol-affine,0.261,cifar100
byol-affine,0.2596,cifar100
byol-affine,0.2616,cifar100
byol-affine,0.2546,cifar100
byol-affine,0.5784581738655002,caltech101
byol-affine,0.5882996172772007,caltech101
byol-affine,0.5937670858392564,caltech101
byol-affine,0.576271186440678,caltech101
byol-affine,0.5855658829961727,caltech101
barlow_twins,0.5028,cifar10
barlow_twins,0.5017,cifar10
barlow_twins,0.5041,cifar10
barlow_twins,0.5026,cifar10
barlow_twins,0.5042,cifar10
barlow_twins,0.246,cifar100
barlow_twins,0.2442,cifar100
barlow_twins,0.2442,cifar100
barlow_twins,0.2456,cifar100
barlow_twins,0.2441,cifar100
barlow_twins,0.5489338436303991,caltech101
barlow_twins,0.5456533624931657,caltech101
barlow_twins,0.5604155276107162,caltech101
barlow_twins,0.5467468562055768,caltech101
barlow_twins,0.5522143247676325,caltech101
barlow_twins-affine,0.5051,cifar10
barlow_twins-affine,0.5032,cifar10
barlow_twins-affine,0.5067,cifar10
barlow_twins-affine,0.5074,cifar10
barlow_twins-affine,0.5041,cifar10
barlow_twins-affine,0.2551,cifar100
barlow_twins-affine,0.2493,cifar100
barlow_twins-affine,0.2591,cifar100
barlow_twins-affine,0.2505,cifar100
barlow_twins-affine,0.2533,cifar100
barlow_twins-affine,0.5483870967741935,caltech101
barlow_twins-affine,0.5472936030617824,caltech101
barlow_twins-affine,0.5494805904866047,caltech101
barlow_twins-affine,0.5544013121924549,caltech101
barlow_twins-affine,0.562055768179333,caltech101
barlow_twins-affine-investigate-losses,0.5317,cifar10
barlow_twins-affine-investigate-losses,0.5296,cifar10
barlow_twins-affine-investigate-losses,0.5265,cifar10
barlow_twins-affine-investigate-losses,0.528,cifar10
barlow_twins-affine-investigate-losses,0.5248,cifar10
barlow_twins-affine-investigate-losses,0.2625,cifar100
barlow_twins-affine-investigate-losses,0.2631,cifar100
barlow_twins-affine-investigate-losses,0.2629,cifar100
barlow_twins-affine-investigate-losses,0.2607,cifar100
barlow_twins-affine-investigate-losses,0.2621,cifar100
barlow_twins-affine-investigate-losses,0.5937670858392564,caltech101
barlow_twins-affine-investigate-losses,0.5954073264078732,caltech101
barlow_twins-affine-investigate-losses,0.5713504647348278,caltech101
barlow_twins-affine-investigate-losses,0.5839256424275561,caltech101
barlow_twins-affine-investigate-losses,0.5893931109896118,caltech101
